ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
1392	A. Ganeshamurthi	Elected	Thursday, September 5, 2013	In office		Erode	Tamil Nadu	Marumalarchi Dravida Munnetra Kazhagam	Male	Graduate	B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.	66	30	0	418	71%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1393	A.K.S. Vijayan	Elected	Thursday, December 20, 2012	In office		Nagapattinam	Tamil Nadu	Dravida Munnetra Kazhagam	Male	Graduate	B.A.; Educated at Madras University, Chennai, Tamil Nadu	52	31	0	440	57%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1394	A.T. Nana Patil	Elected	Monday, May 18, 2009	In office		Jalgaon	Maharashtra	Bharatiya Janata Party	Male	Graduate	M.Com (2nd Year Appearing)	52	69	10	641	80%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1395	Abdul Mannan Hossain	Elected	Monday, May 18, 2009	In office		Murshidabad	West Bengal	Indian National Congress	Male	Graduate	B.A.; Educated at R.K.N.College	61	0	0	0	59%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1396	Abdul Rahman	Elected	Monday, May 18, 2009	In office		Vellore	Tamil Nadu	Dravida Munnetra Kazhagam	Male	Post Graduate	M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.	54	37	0	583	68%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1397	Abhijit Mukherjee	Elected	Saturday, October 13, 2012	In office		Jangipur	West Bengal	Indian National Congress	Male	Graduate	B.E. (Mech.), F.I.E./Chartered Engineer Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata	54	3	0	22	98%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	9.1	0.2	85	76%	9.5	0.1	43	72%		Lok Sabha
1398	Abu Hasem Khan Choudhury	Elected	Monday, May 18, 2009	In office		Maldaha Dakshin	West Bengal	Indian National Congress	Male	Graduate		76	3	0	8	77%	This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	28.8	0.6	215	76%	34	0.7	132	72%		Lok Sabha
1399	Adagooru H Vishwanath	Elected	Monday, May 18, 2009	In office		Mysore	Karnataka	Indian National Congress	Male	Graduate	B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka	64	2	0	344	61%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1400	Adhi Sankar	Elected	Monday, May 18, 2009	In office		Kallakurichi	Tamil Nadu	Dravida Munnetra Kazhagam	Male	Graduate	B.Sc., B.L.; Educated at University of Madras (Tamil Nadu)	56	12	0	178	58%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1401	Adhir Ranjan Chowdhury	Elected	Monday, May 18, 2009	In office		Baharampur	West Bengal	Indian National Congress	Male	Under Matric	Educated at I.C. Institute, Berhampore, West Bengal	57	88	18	309	82%	This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	28.8	0.6	215	76%	34	0.7	132	72%		Lok Sabha
1402	Agatha K. Sangma	Elected	Monday, May 18, 2009	In office		Tura	Meghalaya	Nationalist Congress Party	Female	Post Graduate	M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws	33	0	0	0	49%	This MP was a Minister. She tendered her resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	9.1	0.2	85	76%	1.5	0	14	67%		Lok Sabha
1403	Ajay Kumar	Elected	Monday, August 1, 2011	In office		Jamshedpur	Jharkhand	Jharkhand Vikas Morcha (Prajatantrik)	Male	Professional Graduate	MBBS, IPS	51	55	3	192	76%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	22	0.4	182	76%	26.5	0.6	142	66%		Lok Sabha
1404	Ajay Maken	Elected	Monday, May 18, 2009	In office		New Delhi	Delhi	Indian National Congress	Male	Graduate	B.A.; Educated at University of Delhi	50	0	0	0	37%	This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	4.3	0	35	76%	1.7	0	32	84%		Lok Sabha
1405	Ajit Singh	Elected	Monday, May 18, 2009	In office		Baghpat	Uttar Pradesh	Rashtriya Lok Dal	Male	Post Graduate	B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.)	75	2	0	0	44%	This MP was appointed a minister on 18th Dec, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 16th Dec, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	20.2	0.4	160	76%	24.4	0.3	132	79%		Lok Sabha
1406	Akhilesh Yadav	Elected	Monday, May 18, 2009	Sunday, February 5, 2012		Kannauj	Uttar Pradesh	Samajwadi Party	Male	Post Graduate	B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka	40	4	0	0	53%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	24.7	0.6	183	76%	28.9	0.4	152	79%		Lok Sabha
1407	Amarnath Pradhan	Elected	Monday, May 18, 2009	In office		Sambalpur	Orissa	Indian National Congress	Male	Graduate	B.A., Utkal University, Bhubaneswar, Orissa	55	26	0	187	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1408	Ambica Banerjee	Elected	Monday, May 18, 2009	In office		Howrah	West Bengal	All India Trinamool Congress	Male	Graduate	Mechanical Engineer (Sales); Educated at Hatfield Technical College, London	85	3	0	154	60%	Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	33.3	0.8	258	76%	38.9	0.8	155	72%		Lok Sabha
1409	Anand Prakash Paranjpe	Elected	Monday, May 18, 2009	In office		Kalyan	Maharashtra	Shiv Sena	Male	Post Graduate	B.E., M.B.A.; Educated at Pune University, Maharashtra	40	11	0	820	68%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1410	Anandrao Adsul	Elected	Monday, May 18, 2009	In office		Amravati	Maharashtra	Shiv Sena	Male	Graduate	B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra	66	35	3	1266	74%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1411	Anant Gangaram Geete	Elected	Monday, May 18, 2009	In office		Raigad	Maharashtra	Shiv Sena	Male	Matric	Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra)	62	55	1	10	73%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1412	Anant Kumar Hegde	Elected	Monday, May 18, 2009	In office		Uttara Kannada	Karnataka	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at M.M. Arts and Science College, Sirsi (Karnataka)	45	14	2	574	72%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1413	Ananth Kumar	Elected	Monday, May 18, 2009	In office		Bangalore South	Karnataka	Bharatiya Janata Party	Male	Graduate	B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka)	54	23	0	234	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1414	Anantha Venkatarami Reddy	Elected	Monday, May 18, 2009	In office		Anantapur	Andhra Pradesh	Indian National Congress	Male	Post Graduate	M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh	57	14	0	552	74%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1415	Andimuthu Raja	Elected	Monday, May 18, 2009	In office		Nilgiris	Tamil Nadu	Dravida Munnetra Kazhagam	Male	Post Graduate	B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu)	50	0	0	0	38%	This MP was a Minister. He tendered his resignation on 14th Nov, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th Nov, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	25.9	0.5	215	76%	33.9	0.3	303	69%		Lok Sabha
1416	Anirudhan Sampath	Elected	Monday, May 18, 2009	In office		Attingal	Kerala	Communist Party of India (Marxist)	Male	Post Graduate	M.A. (Eco) L.L.M (Constt. Law)	51	93	1	400	77%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1417	Annu Tandon	Elected	Monday, May 18, 2009	In office		Unnao	Uttar Pradesh	Indian National Congress	Female	Graduate	B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh)	56	30	0	307	93%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1418	Anto Antony	Elected	Monday, May 18, 2009	In office		Pathanamthitta	Kerala	Indian National Congress	Male	Graduate	B.A.; Educated at St. Thomas College, Palai	56	79	0	618	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1419	Anup Kumar Saha	Elected	Monday, May 18, 2009	In office		Bardhaman Purba	West Bengal	Communist Party of India (Marxist)	Male	Doctorate	M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal	58	21	0	101	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1420	Anurag Singh Thakur	Elected	Monday, May 18, 2009	In office		Hamirpur	Himachal Pradesh	Bharatiya Janata Party	Male	Graduate	B.A.; Educated at Doaba College, Jalandhar, Punjab	39	72	1	612	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	86.3	0.6	337	92%		Lok Sabha
1421	Arjun Charan Sethi	Elected	Monday, May 18, 2009	In office		Bhadrak	Orissa	Biju Janata Dal	Male	Post Graduate	M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa	72	49	0	199	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
